Country,Company,Title,Category,Location,Date Posted,Link
Saudi Arabia,Baker Hughes,Welder,Management & Administration,"Dammam, Saudi Arabia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/SA-DAMMAM-2nd-Industrial-City-Modon-facility-Plot-No-005TS00036-PO-Box-31952/Welder_R152299/apply
United States of America,Baker Hughes,"Manufacturing Equipment Operator - Midland, TX",Operations & Process,"Midland, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-MIDLAND-2309-EAST-INTERSTATE-20/Manufacturing-Equipment-Operator---Midland--TX_R153647-1/apply
India,Baker Hughes,Lead Design Engineer – Turbomachinery & Auxiliary Systems,Management & Administration,"Bangalore, India",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IN-KA-BANGALORE-NEON-BUILDING-WEST-TOWER/Lead-Design-Engineer---Turbomachinery---Auxiliary-Systems_R139234/apply
Italy,Baker Hughes,Mechanical Field Service Engineer Reciprocating Compressor,Mechanical & Structural,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Mechanical-Field-Service-Engineer-Reciprocating-Compressor_R145519/apply
Kazakhstan,Baker Hughes,HSE Specialist,HSE,"Astana, Kazakhstan",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/KZ-ATY-ASTANA-151-KABANBAY-BATYR-AVE-YESIL-DISTRICT/HSE-Specialist_R161144/apply
Italy,Baker Hughes,Emerging Talent – Manufacturing Intern 2026 Opportunities (Florence),Graduate & Internship,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Emerging-Talent---Manufacturing-Intern-2026-Opportunities--Florence-_R158416/apply
Czechia,Baker Hughes,"Obráběč kovů - drážkování rotoru (m,ž)",Management & Administration,"Pilsen, Czechia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CZ-DOUDLEVCE-PILSEN-EDVARDA-BENESE-56439/Obrb-kov---drkovn-rotoru--m--_R157117/apply
China,Baker Hughes,Field Service Engineer,Management & Administration,China,,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CN-SHENYANG-NO-268-1-QINGNIAN-ROAD-SHENHE-DISTRICT-UNIT-1508-FLOOR-14-ELEVATOR-FLOOR-15A/Field-Service-Engineer_R158929/apply
China,Baker Hughes,Field Service Engineer,Management & Administration,"Beijing, China",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CN-BEIJING-12-TAIYANGGONG-MIDDLE-RD-CHAOYANG-DISTRICT/Field-Service-Engineer_R158968/apply
Mexico,Baker Hughes,Control and Instrumentation Specialist,Electrical & Instrumentation,"Ciudad del Carmen, Mexico",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/MX-CMP-CIUDAD-DEL-CARMEN-CARRETERA-FEDERAL-180-EN-EL-POLIGONO/Field-Specialist---Control-and-Instrumentation-Compresores-Centrifugos-y-Turbinas-de-Gas_R135103/apply
Czechia,Baker Hughes,"Zámečník (m,ž)",Management & Administration,"Pilsen, Czechia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CZ-DOUDLEVCE-PILSEN-EDVARDA-BENESE-56439/Zmenk--m--_R161306/apply
Kenya,Baker Hughes,ESP Technician,Management & Administration,"Nairobi, Kenya",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/KE-OTHER-KENYA/ESP-Technician_R161552/apply
India,Baker Hughes,Staff Data Engineer,IT & Digital,"Bangalore, India",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IN-KA-BANGALORE-NEON-BUILDING-WEST-TOWER/Staff-Data-Engineer_R152396/apply
United States of America,Baker Hughes,Digital and Automation Portfolio Manager ( DOwnstream ),Electrical & Instrumentation,"Sugar Land, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-SUGAR-LAND-12645-WEST-AIRPORT-BLVD/Lead-Field-Specialist--Downstream-Chemicals----Sugarland--TX_R147725-1/apply
United States of America,Baker Hughes,CNC Machinist,Management & Administration,"Skaneateles, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-NY-SKANEATELES-721-VISIONS-DRIVE/CNC-Machinist_R159963/apply
UK,Baker Hughes,Lead Project Quality Engineer,Management & Administration,"Nailsea, UK",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GB-SO-NAILSEA-2-HIGH-STREET/Lead-Project-Quality-Engineer_R154980-1/apply
Thailand,Baker Hughes,Enterprise Sales Leader,Management & Administration,Thailand,,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/TH-CHATUCHAK-SHINAWATRA-TOWER-III/Enterprise-Sales-Leader_R160363/apply
Italy,Baker Hughes,Emerging Talent – Computer Vision Engineering Intern 2026 Opportunities (Florence),Graduate & Internship,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Emerging-Talent---Computer-Vision-Engineering-Intern-2026-Opportunities--Florence-_R161610/apply
Italy,Baker Hughes,Emerging Talent – Robotics Engineering Intern 2026 Opportunities (Florence),Graduate & Internship,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Emerging-Talent---Robotics-Engineering-Intern-2026-Opportunities--Florence-_R161611/apply
India,Baker Hughes,Teamcenter PLM Solution Architect,IT & Digital,"Hyderabad, India",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IN-TG-HYDERABAD-SKYVIEW-BUILDING/Teamcenter-PLM-Solution-Architect_R150076-1/apply
Singapore,Baker Hughes,Product Management Specialist,Management & Administration,"Singapore, Singapore",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/SG-SINGAPORE-2-BENOI-ROAD/Product-Management-Specialist_R158969/apply
Indonesia,Baker Hughes,Production Technologist,Operations & Process,"Jakarta, Indonesia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/ID-JW-JAKARTA-JI-RA-KARTINI-KAV-8-CILANDAK-BARAT/Production-Technologist_R151947-1/apply
Indonesia,Baker Hughes,Finance Senior Specialist-Indonesia and Singapore Controller,Electrical & Instrumentation,"Batam, Indonesia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/ID-SM-BATAM-JALAN-KERAPU-NO-1415/Finance-Senior-Specialist-Indonesia-and-Singapore-Controller_R161293-1/apply
United States of America,Baker Hughes,"Wireline Field Operator - Mt Pleasant, MI",Drilling & Wells,"Mount Pleasant, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-MI-MOUNT-PLEASANT-2222-ENTERPRISE-DRIVE/Wireline-Field-Operator---Northeast--USA_R158499-1/apply
Peru,Baker Hughes,Field Specialist Compressor,Mechanical & Structural,"Lima, Peru",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/PE-OTHER-PERU/Field-Specialist-Compressor_R126507/apply
United States of America,Baker Hughes,Field Specialist – Junior Control Gas Turbine Specialist,Graduate & Internship,"Austin, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-OTHER-TEXAS/Field-Specialist---Junior-Control-Gas-Turbine-Specialist_R161738/apply
Italy,Baker Hughes,Services Senior Team leader - Resource Management,Management & Administration,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Services-Senior-Team-leader---Resource-Management_R161452/apply
Italy,Baker Hughes,Services Senior Team leader - Resource Management,Management & Administration,"Florence, Italy",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/IT-FI-FLORENCE-VIA-FELICE-MATTEUCCI-2/Services-Senior-Team-leader---Resource-Management_R161453/apply
China,Baker Hughes,Senior Supplier Quality Engineer,Management & Administration,"Suzhou, China",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CN-SUZHOU-81-SUHONG-ZHONG-ROAD/Senior-Supplier-Quality-Engineer_R161226/apply
Czechia,Baker Hughes,Technolog/Process Engineer (m/ž),Operations & Process,"Pilsen, Czechia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CZ-DOUDLEVCE-PILSEN-EDVARDA-BENESE-56439/Technolog-Process-Engineer--m--_R161554/apply
China,Baker Hughes,Supplier Quality Engineering Manager,Management & Administration,"Suzhou, China",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CN-SUZHOU-81-SUHONG-ZHONG-ROAD/Supplier-Quality-Engineering-Manager_R161227/apply
United States of America,Baker Hughes,"Refinery Site Manager (Downstream Chemicals) - Lemont, IL",Operations & Process,"Shorewood, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-IL-SHOREWOOD-1002-GENEVA-STREET/Refinery-Site-Manager--Downstream-Chemicals----Lemont--IL_R156952/apply
Australia,Baker Hughes,ARMO Mechanic GEN,Mechanical & Structural,"Jandakot, Australia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/AU-WA-JANDAKOT-631-KAREL-AVENUE/ARMO-Mechanic-GEN_R161368/apply
Kazakhstan,Baker Hughes,Chemical Process Technician,Operations & Process,"Konyrkuduk, Kazakhstan",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/KZ-ATY-KONYRKUDUK-CO-TCO-TENGIZCHEVROIL/Chemical-Process-Technician_R161711/apply
Czechia,Baker Hughes,"Svářeč (m,ž)",Management & Administration,"Pilsen, Czechia",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CZ-DOUDLEVCE-PILSEN-EDVARDA-BENESE-56439/Sve--m--_R160187/apply
France,Baker Hughes,Chargé(e) d’études mécanique (F/H),Management & Administration,"Fougerolles, France",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/FR-BFC-FOUGEROLLES-2-4-RUE-DE-FONTAINE/Charg-e--d-tudes-mcanique--F-H-_R161468/apply
France,Baker Hughes,Expert(e) Technique Industrialisation (F/H),Management & Administration,"Fougerolles, France",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/FR-BFC-FOUGEROLLES-2-4-RUE-DE-FONTAINE/Expert-e--Technique-Industrialisation--F-H-_R161463/apply
United States of America,Baker Hughes,Assembly Operator,Operations & Process,"Pittsburgh, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-PA-Turtle-Creek-601-Braddock-Avenue/Assembly-Operator_R159796/apply
Guyana,Baker Hughes,Junior Field Control Gas Turbine Specialist,Graduate & Internship,"Georgetown, Guyana",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/GY-Demerara-Georgetown-Tract-X-Land-of-Canaan-on-the-Eastern-Bank-of-the-Demerara-Riv/Junior-Field-Control-Gas-Turbine-Specialist_R161874/apply
Canada,Baker Hughes,Junior Field Control Gas Turbine Specialist,Graduate & Internship,"Calgary, Canada",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/CA-AB-OTHER-ALBERTA/Junior-Field-Control-Gas-Turbine-Specialist_R161474/apply
United States of America,Baker Hughes,Principal Engineer - FPGA,Management & Administration,"Skaneateles, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-NY-SKANEATELES-721-VISIONS-DRIVE/Electrical-Engineer---FPGA_R156053-1/apply
United States of America,Baker Hughes,Field Specialist III - UC_FLD-H,Management & Administration,"Big Spring, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-BIG-SPRING-6401-WEST-I-20/Field-Specialist-III---UC-FLD-H_R161108/apply
United States of America,Baker Hughes,I&S New Energy Projects CoE (Center of Excellence) Leader,Management & Administration,"The Woodlands, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-THE-WOODLANDS-9110-GROGANS-MILL-ROAD/I-S-New-Energy-Projects-CoE--Center-of-Excellence--Leader_R160854/apply
France,Baker Hughes,Ingénieur Projet Qualité Fournisseurs – Nucléaire (F/H),Management & Administration,"Conde-Sur-Noireau, France",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/FR-NOR-CONDE-SUR-NOIREAU-3-RUE-SAINT-PIERRE/Ingnieur-Projet-Qualit-Fournisseurs---Nuclaire--F-H-_R161221/apply
United States of America,Baker Hughes,Field Service Engineer – Mechanical (Rotating Equipment),Mechanical & Structural,"Houston, United States of America",,https://bakerhughes.wd5.myworkdayjobs.com/BakerHughes/job/US-TX-HOUSTON-575-N-DAIRY-ASHFORD-RD-ENERGY-CENTER-II-EC2/Aero-Senior-Field-Service-Engineer_R161002/apply
