Title,Company,Location,Country,Date_Posted,Job_URL
Senior Real Estate Projects Coordinator,Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-25,https://careers.halliburton.com/en/job/stavanger/senior-real-estate-projects-coordinator/543/90875064048
Senior Marketing Specialist - Completion Tools,Halliburton,"Houston, TX , United States",United States,2026-03-25,https://careers.halliburton.com/en/job/houston/senior-marketing-specialist-completion-tools/543/93194730176
"Suriname - Paramaribo: Entry Level Technician, Sperry Drilling Svcs.",Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2025-12-05,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-entry-level-technician-sperry-drilling-svcs/543/87902009328
Suriname- Paramaribo: Technical Planner I - Completion Tools,Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-25,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-technical-planner-i-completion-tools/543/93188883744
"Account Rep, Bus Dev",Halliburton,"Cairo, Cairo Governorate , Egypt",Egypt,2026-03-25,https://careers.halliburton.com/en/job/cairo/account-rep-bus-dev/543/93188883728
"Suriname- Paramaribo-Maintenance Tech, Assoc",Halliburton,"Paramaribo, Distrikt Paramaribo , Suriname",Suriname,2026-03-25,https://careers.halliburton.com/en/job/paramaribo/suriname-paramaribo-maintenance-tech-assoc/543/93188883712
HR30-ESG-HR Specialist I,Halliburton,"Muscat, Muscat , Oman",Oman,2026-03-25,https://careers.halliburton.com/en/job/muscat/hr30-esg-hr-specialist-i/543/93188883696
Assistant operators - Under Balanced Drilling,Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/assistant-operators-under-balanced-drilling/543/89646888928
"Tech Prof-HWO, Assoc",Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/tech-prof-hwo-assoc/543/93188883664
Fld Svc Rep-Fluid Perf I,Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/fld-svc-rep-fluid-perf-i/543/93188883648
R&M Electrical Tech II,Halliburton,"Cairo, Cairo Governorate , Egypt",Egypt,2026-03-25,https://careers.halliburton.com/en/job/cairo/r-and-m-electrical-tech-ii/543/93182948896
Service Leader-Surface Well Testing,Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/service-leader-surface-well-testing/543/93182948880
LG818-ESG-Software QA,Halliburton,"Abingdon, Oxfordshire, England , United Kingdom",United Kingdom,2026-03-25,https://careers.halliburton.com/en/job/abingdon/lg818-esg-software-qa/543/93182948864
Material Coordinator II-III,Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-25,https://careers.halliburton.com/en/job/ban-bo-phawong/material-coordinator-ii-iii/543/93182948848
Service Specialist II- Under Balanced Drilling,Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/service-specialist-ii-under-balanced-drilling/543/89900576016
Service Specialist III-Under Balanced Drilling,Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/service-specialist-iii-under-balanced-drilling/543/89646888944
Mechanic Technician II - Mechanic Technician III,Halliburton,"Moomba, South Australia , Australia",Australia,2026-03-25,https://careers.halliburton.com/en/job/moomba/mechanic-technician-ii-mechanic-technician-iii/543/93182948800
Service Specialist I - Under Balanced Drilling,Halliburton,"Khobar, Eastern Province , Saudi Arabia",Saudi Arabia,2026-03-25,https://careers.halliburton.com/en/job/khobar/service-specialist-i-under-balanced-drilling/543/89824708320
"Field Prof-MLT, Sr",Halliburton,"Aberdeen, Scotland , United Kingdom",United Kingdom,2026-03-25,https://careers.halliburton.com/en/job/aberdeen/field-prof-mlt-sr/543/93182948768
R&M Mechanical Tech I-II,Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-25,https://careers.halliburton.com/en/job/ban-bo-phawong/r-and-m-mechanical-tech-i-ii/543/93182948752
Operator Assistant I-Operator (Cementing),Halliburton,"Ho Chi Minh City, Ho Chi Minh , Vietnam",Vietnam,2026-03-25,https://careers.halliburton.com/en/job/ho-chi-minh-city/operator-assistant-i-operator-cementing/543/93182937360
PP04-ESG-Svc Operator II-Pipeline/Proces,Halliburton,"Tianjin, Tianjin Municipality , China",China,2026-03-25,https://careers.halliburton.com/en/job/tianjin/pp04-esg-svc-operator-ii-pipeline-proces/543/93182937328
"A166-ESG-Materials Control Spec, Assoc",Halliburton,"Tianjin, Tianjin Municipality , China",China,2026-03-25,https://careers.halliburton.com/en/job/tianjin/a166-esg-materials-control-spec-assoc/543/90817910928
"Technical Professional, Senior - Principal (Completions)",Halliburton,"Kuala Lumpur, Kuala Lumpur , Malaysia",Malaysia,2026-03-25,https://careers.halliburton.com/en/job/kuala-lumpur/technical-professional-senior-principal-completions/543/93182937296
R&M Electrical Tech I-III,Halliburton,"Ban Bo Phawong, Nakhon Sawan , Thailand",Thailand,2026-03-25,https://careers.halliburton.com/en/job/ban-bo-phawong/r-and-m-electrical-tech-i-iii/543/93182937280
Production Welder - Senior Production Welder,Halliburton,"Lafayette, LA , United States",United States,2026-03-24,https://careers.halliburton.com/en/job/lafayette/production-welder-senior-production-welder/543/93167029376
Huila - Neiva - Operador de estimulación y fractura - Production Solutions,Halliburton,"Neiva, Departamento del Huila , Colombia",Colombia,2026-03-24,https://careers.halliburton.com/en/job/neiva/huila-neiva-operador-de-estimulacion-y-fractura-production-solutions/543/93167029344
Brazil-RJ-Macaé: Directional Drilling Technical Advisor - Sperry Drilling Svcs,Halliburton,"Macaé, Rio de Janeiro , Brazil",Brazil,2026-03-24,https://careers.halliburton.com/en/job/macae/brazil-rj-macae-directional-drilling-technical-advisor-sperry-drilling-svcs/543/93155568608
Field Engineer-Tool Specialist- Sperry Drilling,Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-24,https://careers.halliburton.com/en/job/stavanger/field-engineer-tool-specialist-sperry-drilling/543/93155568592
Senior Field Engineer LWD (MWD/LWD),Halliburton,"Stavanger, Rogaland , Norway",Norway,2026-03-24,https://careers.halliburton.com/en/job/stavanger/senior-field-engineer-lwd-mwd-lwd/543/93155568576
BR-Rio de Janeiro: Payroll Specialist (F&A),Halliburton,"Rio de Janeiro, Rio de Janeiro , Brazil",Brazil,2026-03-23,https://careers.halliburton.com/en/job/rio-de-janeiro/br-rio-de-janeiro-payroll-specialist-f-and-a/543/93116799456
Engineering Manager - Real-Time Data Platform,Halliburton,"Houston, TX , United States",United States,2026-03-24,https://careers.halliburton.com/en/job/houston/engineering-manager-real-time-data-platform/543/93155568544
