Title,Company,Location,Country,Date_Posted,Job_URL
Operational Excellence Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Operational-Excellence-Specialist/857089023/
Manufacturing Performance Expert - Refinery Experience Only,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Manufacturing-Performance-Expert-Refinery-Experience-Only/855896223/
Production Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Production-Engineer/857117423/
Instructional Designer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Instructional-Designer/857088923/
Lead Corporate Strategist - Industrial Portfolio,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Lead-Corporate-Strategist-Industrial-Portfolio/857116623/
Corrosion Control Engineer,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Corrosion-Control-Engineer/857138823/
Sr Counsel - Chemicals & Retail,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Sr-Counsel-Chemicals-&-Retail/857013923/
Sr Legal Counsel - Unconventional Gas,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Sr-Legal-Counsel-Unconventional-Gas/857013823/
Computational Research Expert (Optimization and Control),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Computational-Research-Expert-%28Optimization-and-Control%29/857062823/
Computational Research Expert (AI Specialist),Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Computational-Research-Expert-%28AI-Specialist%29/857062223/
Sr Legal Counsel - Gas,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_us/job/Sr-Legal-Counsel-Gas/857013723/
Business Origination Specialist,Saudi Aramco,Saudi Arabia,Saudi Arabia,,https://careers.aramco.com/expat_uk/job/Business-Origination-Specialist/857061923/
